[Mon Jul 11 23:32:16.614044 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  23. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614051 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  24. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614058 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  25. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614065 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  26. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614071 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  27. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614078 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614086 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614092 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  30. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614103 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  31. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614110 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  32. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614117 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  33. Illuminate\\Session\\Middleware\\StartSession->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614125 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614131 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  35. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614138 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614145 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  37. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614152 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  38. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614159 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614165 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  40. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614172 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  41. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614191 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  42. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614218 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  43. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614241 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614258 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  45. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614277 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  46. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614308 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  47. Illuminate\\Routing\\Route->run() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614328 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  48. Illuminate\\Routing\\Route->runController() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Route.php:140, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614347 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  49. Illuminate\\Routing\\ControllerDispatcher->dispatch() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Route.php:174, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614367 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  50. Illuminate\\Routing\\ControllerDispatcher->callWithinStack() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:54, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614386 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  51. Illuminate\\Pipeline\\Pipeline->then() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:96, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614404 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  52. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614422 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  53. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614439 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  54. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614458 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  55. Illuminate\\Routing\\ControllerDispatcher->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
